ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
2,1,2023-03-28 22:47:23,2023-03-28 22:47:23,"<!-- wp:image {""align"":""right"",""id"":169,""width"":""678px"",""height"":""auto"",""sizeSlug"":""large"",""linkDestination"":""none"",""className"":""is-style-default""} -->
<figure class=""wp-block-image alignright size-large is-resized is-style-default""><img src=""https://michaelkentburns.com/wp-content/uploads/2024/02/MichaelAtWork-1024x768.jpeg"" alt="""" class=""wp-image-169"" style=""width:678px;height:auto""/></figure>
<!-- /wp:image -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Software development freelancing...</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>There are many locations around the globe that are hotspots for software development.   If you happen to live in one of those places, jobs can come looking for you.   But there are many places around the world that have little or no jobs in this field.  In those places you need some extra skills to get and keep work, but it can be done.  This site is a place to find help and to build community of fellow developers.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Learn a little about me and why I am developing this site on my <a href=""https://michaelkentburns.com/index.php/about-michael/"" data-type=""page"" data-id=""22"">About page...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":1} -->
<h1 class=""wp-block-heading"">Welcome</h1>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>My intention with this main page is to tell a story of a journey that you might be on.  I'll try to keep it pretty brief and include ""Learn more..."" links so you can dive deeper as you need.   Hopefully you will find yourself on this journey and find where you are in the story.  When you do, I invite you to contact me.  My intention is that I can help guide you along.   I hope that this will become a community of like minded people.  I invite you to help me understand your needs and together we will keep you moving.  No tricks or fees are involved.   See my <a href=""https://michaelkentburns.com/index.php/about-michael/"" data-type=""page"" data-id=""22"">About page</a> for that background.  If you have questions or comments along the way please <a href=""mailto: MichaelKentBurns@gmail.com"">email me</a>.   This site is a work in progress and I intend to develop it to meet the needs of my readers. </p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Developing your skills</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>While traditional full time employment brings a degree of long term job security, freelancers need to keep their current skills fresh in order to stay relevant.  High tech work is constantly changing with new fields opening up almost daily.  Those new fields often have a higher demand for skilled individuals.  Being willing and able to add new skills will increase your chances of finding work and better pay.  </p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":4} -->
<h4 class=""wp-block-heading"">Front end web</h4>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>The World Wide Web is a rapidly evolving place, and it is a challenging field to stay fresh in.   Sometimes there are dramatic shifts in interactive technology.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/index.php/front-end-web/"" data-type=""page"" data-id=""49"">Learn more about front end work...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":4} -->
<h4 class=""wp-block-heading"">Back end web</h4>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Back end technologies don't change as fast as front end, but...</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/index.php/back-end-web/"" data-type=""page"" data-id=""52"">Learn more about back end work...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":4} -->
<h4 class=""wp-block-heading"">Full stack</h4>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>On the surface full stack development is just front end and back end, but there is more to consider...</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/index.php/full-stack/"" data-type=""page"" data-id=""55"">Learn more about putting it all together...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":4} -->
<h4 class=""wp-block-heading"">Working globally</h4>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>With the advent of <a href=""https://en.wikipedia.org/wiki/Open-source_software""><strong>open-source software</strong></a> there arose the need to have world wide access to the source code for the many projects.   <a href=""https://en.wikipedia.org/wiki/Git""><strong>Git</strong></a> is the source control tool invented for Linux development.  <a href=""https://en.wikipedia.org/wiki/GitHub""><strong>GitHub</strong></a> is a web interface for software development which uses Git for the source control features, and describes itself as collaborative version control.   It not only allows you to manage your own projects but lets you share them.  Furthermore it lets you explore a vast galaxy of other projects that you can learn from, and in some cases contribute to.  That is a great way of building your reputation. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/?page_id=59"" data-type=""page"" data-id=""59"">Learn more about how software is developed globally...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3 class=""wp-block-heading"">Let's get acquainted so I can figure out how I can begin to help you. </h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Please take the first challenge to tell me about yourself.  Once we get acquainted I can learn about your needs and desires and continue to develop this site to help you move forward.   I can also get some feedback from you on what is helpful and what is not so much.  Eventually, I would like you to consider being more actively involved in making this site a place where you can help others and learn from them too. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/index.php/challenge-tell-me-about-yourself-so-i-know-how-i-can-help-you/"" data-type=""page"" data-id=""181"">Take the challenge of introducing your self.</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":3} -->
<h3 class=""wp-block-heading"">Let's consider your development environment</h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>If you are reading this you are probably far enough into web development that you have at least a starter machine and programs to get the work done.    I have a summary of development platforms that you should read to consider what you have, what you might need to move forward.   At the end of that I'd like to know what you have and what you think you might need.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/index.php/development-platforms/"" data-type=""page"" data-id=""175"">Learn more about development platforms..</a>.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Take a challenge to <a href=""https://michaelkentburns.com/index.php/challenge-tell-me-about-your-development-setup/"" data-type=""page"" data-id=""184"">tell me about your current development setup...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Finding work as an individual</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>There are a number of <a href=""https://en.wikipedia.org/wiki/Freelancer"">freelance</a> marketplaces online.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://www.upwork.com/freelance-jobs/"">Upwork</a> is one we recommend.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/index.php/finding-work/"" data-type=""page"" data-id=""79"">Learn more about freelancing work...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Working as part of a team</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Because of the rapid pace of technology development and market requirements, most web and application development is done by integrated teams.  No one person can do it all themselves. It takes a team of specialists working individually and cross discipline to be successful. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>A team can take on big jobs that a single person cannot do.   This presents opportunity for the individual developer.  Once you understand how a team can work together you can find the best place to contribute.   But while you are doing what you already know how to do, you will also learn something about the rest of the team and the roles they fill.   And you will find avenues to learn new skills while you build team skills.   </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><a href=""https://michaelkentburns.com/index.php/working-in-a-professional-team/"" data-type=""page"" data-id=""149"">Learn more about working as part of a larger team ...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Development platforms</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Doing web development work as an individual can be done with most any computer running Windows, Linux, or Macintosh.   You most likely already made a choice and are doing work.   However, as you move into full stack work, or start working as part of a team it will get more complex.   It is worth considering the options again. </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>So, take a moment to<a href=""https://michaelkentburns.com/index.php/development-platforms/"" data-type=""page"" data-id=""175""> learn more about development platforms...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Accepting challenges to put your learning to work.</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>You may have already encountered a prompt to accept a challenge as you have read this far.  If so, good for you.   I will continue to add more challenges to keep you moving forward.  </p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Learn more from the <a href=""https://michaelkentburns.com/index.php/take-a-challenge/"" data-type=""page"" data-id=""178"">complete list of challenges...</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">How to do many things related to this work</h2>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>I continue to develop <a href=""https://michaelkentburns.com/index.php/how-to/"" data-type=""page"" data-id=""108"">how to pages on simple and more advanced topics.</a></p>
<!-- /wp:paragraph -->

<!-- wp:heading -->
<h2 class=""wp-block-heading"">Latest Posts</h2>
<!-- /wp:heading -->

<!-- wp:latest-posts {""align"":""center""} /-->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",Home,"",publish,closed,open,"",sample-page,"","",2024-02-16 16:39:12,2024-02-16 16:39:12,"","0",https://michaelkentburns.com/?page_id=2,"0",page,"","0"
3,1,2023-03-28 22:47:23,2023-03-28 22:47:23,"<!-- wp:heading --><h2>Who we are</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Our website address is: https://michaelkentburns.com.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Comments</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor&#8217;s IP address and browser user agent string to help spam detection.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it. The Gravatar service privacy policy is available here: https://automattic.com/privacy/. After approval of your comment, your profile picture is visible to the public in the context of your comment.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Media</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you upload images to the website, you should avoid uploading images with embedded location data (EXIF GPS) included. Visitors to the website can download and extract any location data from images on the website.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Cookies</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment on our site you may opt-in to saving your name, email address and website in cookies. These are for your convenience so that you do not have to fill in your details again when you leave another comment. These cookies will last for one year.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>If you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies. This cookie contains no personal data and is discarded when you close your browser.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>When you log in, we will also set up several cookies to save your login information and your screen display choices. Login cookies last for two days, and screen options cookies last for a year. If you select &quot;Remember Me&quot;, your login will persist for two weeks. If you log out of your account, the login cookies will be removed.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>If you edit or publish an article, an additional cookie will be saved in your browser. This cookie includes no personal data and simply indicates the post ID of the article you just edited. It expires after 1 day.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Embedded content from other websites</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Articles on this site may include embedded content (e.g. videos, images, articles, etc.). Embedded content from other websites behaves in the exact same way as if the visitor has visited the other website.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Who we share your data with</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you request a password reset, your IP address will be included in the reset email.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>How long we retain your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment, the comment and its metadata are retained indefinitely. This is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.</p><!-- /wp:paragraph --><!-- wp:paragraph --><p>For users that register on our website (if any), we also store the personal information they provide in their user profile. All users can see, edit, or delete their personal information at any time (except they cannot change their username). Website administrators can also see and edit that information.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>What rights you have over your data</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us. You can also request that we erase any personal data we hold about you. This does not include any data we are obliged to keep for administrative, legal, or security purposes.</p><!-- /wp:paragraph --><!-- wp:heading --><h2>Where your data is sent</h2><!-- /wp:heading --><!-- wp:paragraph --><p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Visitor comments may be checked through an automated spam detection service.</p><!-- /wp:paragraph -->",Privacy Policy,"",draft,closed,open,"",privacy-policy,"","",2023-03-28 22:47:23,2023-03-28 22:47:23,"","0",https://michaelkentburns.com/?page_id=3,"0",page,"","0"
7,1,2023-03-28 23:32:47,2023-03-28 23:32:47,"{""version"": 2, ""isGlobalStylesUserThemeJSON"": true }",Custom Styles,"",publish,closed,closed,"",wp-global-styles-twentytwentythree,"","",2023-03-28 23:32:47,2023-03-28 23:32:47,"","0",https://michaelkentburns.com/index.php/2023/03/28/wp-global-styles-twentytwentythree/,"0",wp_global_styles,"","0"
8,1,2023-03-29 04:32:58,2023-03-29 04:32:58,"{""version"": 2, ""isGlobalStylesUserThemeJSON"": true }",Custom Styles,"",publish,closed,closed,"",wp-global-styles-twentytwentytwo,"","",2023-03-29 04:32:58,2023-03-29 04:32:58,"","0",https://michaelkentburns.com/index.php/2023/03/29/wp-global-styles-twentytwentytwo/,"0",wp_global_styles,"","0"
9,1,2023-03-29 22:01:39,2023-03-29 22:01:39,"<!-- wp:navigation-link {""label"":""About"",""type"":""page"",""id"":2,""url"":""https://michaelkentburns.com/index.php/sample-page/"",""kind"":""post-type""} /-->

<!-- wp:navigation-link /-->",Navigation,"",publish,closed,closed,"",navigation,"","",2023-03-29 22:40:32,2023-03-29 22:40:32,"","0",https://michaelkentburns.com/index.php/2023/03/29/navigation/,"0",wp_navigation,"","0"
10,1,2023-03-29 22:01:56,2023-03-29 22:01:56,"<!-- wp:group {""align"":""full"",""style"":{""elements"":{""link"":{""color"":{""text"":""var:preset|color|background""}}},""spacing"":{""padding"":{""top"":""0px"",""bottom"":""0px""}}},""backgroundColor"":""foreground"",""textColor"":""background"",""layout"":{""inherit"":true,""type"":""constrained""}} -->
<div class=""wp-block-group alignfull has-background-color has-foreground-background-color has-text-color has-background has-link-color"" style=""padding-top:0px;padding-bottom:0px""><!-- wp:template-part {""slug"":""header"",""theme"":""twentytwentytwo"",""tagName"":""header"",""align"":""wide""} /-->

<!-- wp:image {""align"":""wide"",""sizeSlug"":""full"",""linkDestination"":""none""} -->
<figure class=""wp-block-image alignwide size-full""><img src=""https://michaelkentburns.com/wp-content/themes/twentytwentytwo/assets/images/flight-path-on-transparent-d.png"" alt=""Illustration of a bird flying.""/></figure>
<!-- /wp:image --></div>
<!-- /wp:group -->

<!-- wp:spacer {""height"":""66px""} -->
<div style=""height:66px"" aria-hidden=""true"" class=""wp-block-spacer""></div>
<!-- /wp:spacer -->","Header (Dark, small)","",publish,closed,closed,"",header-small-dark,"","",2023-03-29 22:01:56,2023-03-29 22:01:56,"","0",https://michaelkentburns.com/index.php/2023/03/29/header-small-dark/,"0",wp_template_part,"","0"
11,1,2023-03-29 22:01:56,2023-03-29 22:01:56,"<!-- wp:group {""layout"":{""inherit"":true,""type"":""constrained""}} -->
<div class=""wp-block-group""><!-- wp:group {""align"":""wide"",""style"":{""spacing"":{""padding"":{""bottom"":""var(\u002d\u002dwp\u002d\u002dcustom\u002d\u002dspacing\u002d\u002dlarge, 8rem)"",""top"":""var(\u002d\u002dwp\u002d\u002dcustom\u002d\u002dspacing\u002d\u002dsmall, 1.25rem)""}}},""layout"":{""type"":""flex"",""justifyContent"":""space-between""}} -->
<div class=""wp-block-group alignwide"" style=""padding-top:var(--wp--custom--spacing--small, 1.25rem);padding-bottom:var(--wp--custom--spacing--large, 8rem)""><!-- wp:group {""layout"":{""type"":""flex""}} -->
<div class=""wp-block-group""><!-- wp:site-logo {""width"":64} /-->

<!-- wp:site-title /--></div>
<!-- /wp:group -->

<!-- wp:image {""id"":12,""width"":531,""height"":355,""sizeSlug"":""large"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-large is-resized""><img src=""https://michaelkentburns.com/wp-content/uploads/2023/03/Mentor-mentee-1-1024x683.png"" alt="""" class=""wp-image-12"" width=""531"" height=""355""/></figure>
<!-- /wp:image -->

<!-- wp:navigation {""ref"":9,""layout"":{""type"":""flex"",""setCascadingProperties"":true,""justifyContent"":""right""}} /--></div>
<!-- /wp:group --></div>
<!-- /wp:group -->",Header,"",publish,closed,closed,"",header,"","",2023-03-29 22:23:50,2023-03-29 22:23:50,"","0",https://michaelkentburns.com/index.php/2023/03/29/header/,"0",wp_template_part,"","0"
12,1,2023-03-29 22:16:39,2023-03-29 22:16:39,"",Mentor-mentee 1,"",inherit,open,closed,"",mentor-mentee-1,"","",2023-03-29 22:16:39,2023-03-29 22:16:39,"","0",https://michaelkentburns.com/wp-content/uploads/2023/03/Mentor-mentee-1.png,"0",attachment,image/png,"0"
13,1,2023-03-29 22:23:50,2023-03-29 22:23:50,"<!-- wp:group {""layout"":{""inherit"":true,""type"":""constrained""}} -->
<div class=""wp-block-group""><!-- wp:group {""align"":""wide"",""style"":{""spacing"":{""padding"":{""bottom"":""var(\u002d\u002dwp\u002d\u002dcustom\u002d\u002dspacing\u002d\u002dlarge, 8rem)"",""top"":""var(\u002d\u002dwp\u002d\u002dcustom\u002d\u002dspacing\u002d\u002dsmall, 1.25rem)""}}},""layout"":{""type"":""flex"",""justifyContent"":""space-between""}} -->
<div class=""wp-block-group alignwide"" style=""padding-top:var(--wp--custom--spacing--small, 1.25rem);padding-bottom:var(--wp--custom--spacing--large, 8rem)""><!-- wp:group {""layout"":{""type"":""flex""}} -->
<div class=""wp-block-group""><!-- wp:site-logo {""width"":64} /-->

<!-- wp:site-title /--></div>
<!-- /wp:group -->

<!-- wp:image {""id"":12,""width"":531,""height"":355,""sizeSlug"":""large"",""linkDestination"":""none""} -->
<figure class=""wp-block-image size-large is-resized""><img src=""https://michaelkentburns.com/wp-content/uploads/2023/03/Mentor-mentee-1-1024x683.png"" alt="""" class=""wp-image-12"" width=""531"" height=""355""/></figure>
<!-- /wp:image -->

<!-- wp:navigation {""ref"":9,""layout"":{""type"":""flex"",""setCascadingProperties"":true,""justifyContent"":""right""}} /--></div>
<!-- /wp:group --></div>
<!-- /wp:group -->",Header,"",inherit,closed,closed,"",11-revision-v1,"","",2023-03-29 22:23:50,2023-03-29 22:23:50,"",11,https://michaelkentburns.com/?p=13,"0",revision,"","0"
14,1,2023-03-29 22:40:32,2023-03-29 22:40:32,"<!-- wp:navigation-link {""label"":""About"",""type"":""page"",""id"":2,""url"":""https://michaelkentburns.com/index.php/sample-page/"",""kind"":""post-type""} /-->

<!-- wp:navigation-link /-->",Navigation,"",inherit,closed,closed,"",9-revision-v1,"","",2023-03-29 22:40:32,2023-03-29 22:40:32,"",9,https://michaelkentburns.com/?p=14,"0",revision,"","0"
